Sex,Age,Height,Weight,Team,Season,Sport,Event,ponderal_index,mass_index,surface_area,lean_body_mass,basal_metabolic_rate,estimated_energy_requirements
M,28,167,68.0,Togo,Summer,Athletics,Athletics Men's Long Jump,14.60022334047528,24.38237297859371,1.7646234780072307,53.065,1648.001,2897.4744
M,21,184,69.0,Pakistan,Summer,Athletics,Athletics Men's 100 metres,11.076323251417769,20.380434782608695,1.9048909078875107,58.010999999999996,1794.0520000000001,3079.4632
M,21,184,69.0,Pakistan,Summer,Athletics,Athletics Men's 200 metres,11.076323251417769,20.380434782608695,1.9048909078875107,58.010999999999996,1794.0520000000001,3079.4632
M,21,184,69.0,Pakistan,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,11.076323251417769,20.380434782608695,1.9048909078875107,58.010999999999996,1794.0520000000001,3079.4632
M,27,179,74.0,Nigeria,Summer,Athletics,Athletics Men's 400 metres Hurdles,12.90246313251928,23.095409007209515,1.9235711374501328,58.711,1797.287,3113.0371999999998
M,23,174,64.0,Portugal,Summer,Athletics,Athletics Men's 100 metres,12.14876773530265,21.13885585942661,1.7717033959125974,53.306,1661.772,2888.7092000000002
M,23,174,64.0,Portugal,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,12.14876773530265,21.13885585942661,1.7717033959125974,53.306,1661.772,2888.7092000000002
M,27,174,64.0,Portugal,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,12.14876773530265,21.13885585942661,1.7717033959125974,53.306,1634.772,2850.5892000000003
M,21,171,66.0,Trinidad and Tobago,Summer,Athletics,Athletics Men's 100 metres,13.199442983506097,22.571047501795427,1.7725344159372811,53.319,1687.763,2938.6748
M,21,171,66.0,Trinidad and Tobago,Summer,Athletics,Athletics Men's 200 metres,13.199442983506097,22.571047501795427,1.7725344159372811,53.319,1687.763,2938.6748
M,24,180,72.0,Benin,Summer,Athletics,Athletics Men's 100 metres,12.345679012345677,22.22222222222222,1.908996801953057,58.164,1795.04,3099.9296000000004
M,24,180,72.0,Benin,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,12.345679012345677,22.22222222222222,1.908996801953057,58.164,1795.04,3099.9296000000004
M,27,194,80.0,Venezuela,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,10.956826815299674,21.25624402168137,2.1078311694438936,65.158,1954.8319999999999,3335.258
M,24,168,62.0,Panama,Summer,Athletics,Athletics Men's 200 metres,13.075666774646368,21.9671201814059,1.7040487731349643,50.89,1597.504,2799.7096
M,32,168,62.0,Panama,Summer,Athletics,Athletics Men's 100 metres,13.075666774646368,21.9671201814059,1.7040487731349643,50.89,1543.504,2723.4696
M,24,178,77.0,Belize,Summer,Athletics,Athletics Men's 400 metres Hurdles,13.653082617817237,24.302487059714682,1.948405664624849,59.665000000000006,1853.784,3206.8716000000004
M,26,172,64.0,Cuba,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,12.577508898587547,21.63331530557058,1.7569157519906469,52.77199999999999,1631.516,2849.3272
M,23,185,75.0,Argentina,Summer,Athletics,Athletics Men's 400 metres,11.845300377075395,21.913805697589478,1.9813758427117765,60.72,1868.055,3207.0800000000004
M,18,169,70.0,Ghana,Summer,Athletics,Athletics Men's 200 metres,14.502334772310236,24.508945765204302,1.8019836721912943,54.413,1753.007,3050.66
M,18,169,70.0,Ghana,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,14.502334772310236,24.508945765204302,1.8019836721912943,54.413,1753.007,3050.66
M,22,169,70.0,Ghana,Summer,Athletics,Athletics Men's 200 metres,14.502334772310236,24.508945765204302,1.8019836721912943,54.413,1726.007,3012.54
M,22,170,57.0,Great Britain,Summer,Athletics,Athletics Men's 110 metres Hurdles,11.601872582943214,19.723183391003463,1.6583973889664347,49.388999999999996,1552.26,2711.8276
M,22,170,57.0,Great Britain,Summer,Athletics,Athletics Men's Long Jump,11.601872582943214,19.723183391003463,1.6583973889664347,49.388999999999996,1552.26,2711.8276
M,24,196,72.0,Ghana,Summer,Athletics,Athletics Men's 100 metres,9.562342221353349,18.74219075385256,2.030571500031949,62.43599999999999,1875.088,3186.2656
M,24,196,72.0,Ghana,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,9.562342221353349,18.74219075385256,2.030571500031949,62.43599999999999,1875.088,3186.2656
M,24,196,72.0,Ghana,Summer,Athletics,Athletics Men's Long Jump,9.562342221353349,18.74219075385256,2.030571500031949,62.43599999999999,1875.088,3186.2656
M,28,196,72.0,Ghana,Summer,Athletics,Athletics Men's 100 metres,9.562342221353349,18.74219075385256,2.030571500031949,62.43599999999999,1848.088,3148.1456
M,28,196,72.0,Ghana,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,9.562342221353349,18.74219075385256,2.030571500031949,62.43599999999999,1848.088,3148.1456
M,28,196,72.0,Ghana,Summer,Athletics,Athletics Men's Long Jump,9.562342221353349,18.74219075385256,2.030571500031949,62.43599999999999,1848.088,3148.1456
M,32,196,72.0,Ghana,Summer,Athletics,Athletics Men's Long Jump,9.562342221353349,18.74219075385256,2.030571500031949,62.43599999999999,1821.088,3110.0256
M,23,174,69.0,Finland,Summer,Athletics,Athletics Men's 100 metres,13.097890214623169,22.79032897344431,1.8292598077699114,55.340999999999994,1730.522,3006.4432
M,23,174,69.0,Finland,Summer,Athletics,Athletics Men's 4 x 100 metres Relay,13.097890214623169,22.79032897344431,1.8292598077699114,55.340999999999994,1730.522,3006.4432
M,21,175,65.0,Pakistan,Summer,Athletics,Athletics Men's 4 x 400 metres Relay,12.128279883381925,21.224489795918366,1.7908412344206386,53.980000000000004,1694.025,2936.7120000000004
