Sex,Age,Height,Weight,Team,Season,Sport,Event
M,16.0,178.0,60.0,Oman,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,23.0,181.0,77.0,Qatar,Summer,Athletics,Athletics Men's Long Jump
M,27.0,181.0,77.0,Qatar,Summer,Athletics,Athletics Men's Long Jump
M,28.0,174.0,68.0,Oman,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,19.0,191.0,72.0,Saudi Arabia,Summer,Athletics,Athletics Men's 400 metres Hurdles
M,19.0,191.0,72.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,23.0,191.0,72.0,Saudi Arabia,Summer,Athletics,Athletics Men's 400 metres Hurdles
M,23.0,191.0,72.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 400 metres Relay
M,27.0,191.0,72.0,Saudi Arabia,Summer,Athletics,Athletics Men's 400 metres Hurdles
M,25.0,172.0,73.0,Oman,Summer,Athletics,Athletics Men's 100 metres
M,26.0,175.0,75.0,Qatar,Summer,Athletics,Athletics Men's 110 metres Hurdles
M,20.0,170.0,65.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,18.0,170.0,65.0,Saudi Arabia,Summer,Athletics,Athletics Men's 200 metres
M,18.0,170.0,65.0,Saudi Arabia,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,22.0,170.0,65.0,Saudi Arabia,Summer,Athletics,Athletics Men's 100 metres
M,21.0,193.0,89.0,Nigeria,Summer,Athletics,Athletics Men's 400 metres Hurdles
M,27.0,170.0,80.0,Bangladesh,Summer,Athletics,Athletics Men's 200 metres
M,26.0,168.0,63.0,Bangladesh,Summer,Athletics,Athletics Men's 200 metres
M,26.0,168.0,63.0,Bangladesh,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,24.0,177.0,78.0,Benin,Summer,Athletics,Athletics Men's 100 metres
M,27.0,180.0,76.0,Benin,Summer,Athletics,Athletics Men's 100 metres
M,27.0,180.0,76.0,Benin,Summer,Athletics,Athletics Men's 200 metres
M,27.0,180.0,76.0,Benin,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,35.0,180.0,76.0,Benin,Summer,Athletics,Athletics Men's 4 x 100 metres Relay
M,25.0,165.0,68.0,Spain,Summer,Athletics,Athletics Men's 100 metres
M,28.0,172.0,66.0,Argentina,Summer,Athletics,Athletics Men's 100 metres
M,25.0,190.0,83.0,Sweden,Summer,Athletics,Athletics Men's 110 metres Hurdles
